commit	avg_loss	status	description
0cc594a	2.045300	keep	baseline defaults
0e60a4c	1.976400	keep	time-based cosine lr decay
3d23276	1.978200	discard	raise base learning rate to 0.0006
e280cdd	1.968100	keep	lower cosine lr floor to 0.02
13d3109	1.978000	discard	shorten warmup to 0.01
6db3c9b	1.977600	discard	lower weight decay to 0.00002
a1b3f38	1.972500	discard	deepen final aggregation head
8e25f9a	1.973600	discard	anneal cosine lr floor to zero
d89c4cd	1.969900	discard	increase batch size to 2048
6a22c27	1.973800	discard	increase batch size to 1536
14f26e2	1.971700	discard	increase warmup fraction to 0.05
d40f7f4	1.972900	discard	switch optimizer to Adam
4290f32	1.971000	discard	lower AdamW beta2 to 0.95
df383e7	1.973000	discard	lower base learning rate to 0.0003
498bd92	1.971100	discard	add gradient clipping at norm 1.0
91a923e	1.974000	discard	increase attention heads from 2 to 4
69bcda6	1.978400	discard	widen the post-attention feedforward block
af50a02	1.968100	discard	increase digit embedding width from 24 to 32
f8b9fb2	2.057700	discard	reference early stop at 30 epochs
67e381d	2.020400	discard	reference early stop at 45 epochs
cebd6c0	2.016300	discard	reference early stop at 60 epochs
6c878ae	1.993800	discard	reference early stop at 90 epochs
b875a61	2.002200	discard	reference early stop at 120 epochs
d90e420	2.055200	discard	lower base LR to 0.00025 at 60 epochs
9ddcbfc	2.024000	discard	lower base LR to 0.0003 at 60 epochs
5d8d232	2.018100	discard	lower base LR to 0.00035 at 60 epochs
b499fa7	2.024400	discard	raise base LR to 0.00045 at 60 epochs
7dd9663	1.995500	discard	raise base LR to 0.0005 at 60 epochs
97228e8	2.081200	discard	zero warmup at 90 epochs
c83b93c	2.080600	discard	shorter warmup of 0.01 at 90 epochs
66024fa	2.037600	discard	longer warmup of 0.05 at 90 epochs
95af142	2.062600	discard	zero final LR floor at 90 epochs
c43bc94	2.016700	discard	lower final LR floor to 0.01 at 90 epochs
d2f3af1	2.001000	discard	raise final LR floor to 0.05 at 90 epochs
c1c7c8e	1.996500	discard	remove weight decay at 90 epochs
d58ecf4	2.002400	discard	lower weight decay to 0.00005 at 90 epochs
fe20d22	2.033700	discard	raise weight decay to 0.0002 at 90 epochs
1142c97	2.122300	discard	raise weight decay to 0.0005 at 90 epochs
cca0288	2.018300	discard	reduce batch size to 512 at 60 epochs
bb45fea	2.023800	discard	reduce batch size to 768 at 60 epochs
a35cacb	2.019000	discard	increase batch size to 1536 at 60 epochs
3acd714	2.076400	discard	increase batch size to 2048 at 60 epochs
cd982d4	2.129900	discard	increase batch size to 3072 at 60 epochs
373f56d	2.105500	discard	increase batch size to 4096 at 60 epochs
f9bb218	2.014600	discard	batch size 512 with lower LR 0.0003 at 60 epochs
1c16bfc	1.999300	discard	batch size 512 with higher LR 0.0005 at 60 epochs
68abd29	2.057300	discard	batch size 2048 with higher LR 0.0005 at 60 epochs
cf1c11a	2.039500	discard	batch size 2048 with higher LR floor 0.05 at 60 epochs
1c4d6a0	2.056300	discard	Adam with constant LR at 60 epochs
8f149e7	2.013600	discard	Adam with cosine LR at 60 epochs
0b0c64e	2.440500	discard	RMSprop with constant LR at 60 epochs
cb6ad25	2.539000	discard	RMSprop with cosine LR at 60 epochs
d5ad3a8	2.164900	discard	Adagrad with constant LR at 60 epochs
450b846	2.122200	discard	Adagrad with cosine LR at 60 epochs
224334f	7.614000	discard	SGD with constant LR at 60 epochs
c05938c	0.000000	crash	SGD with cosine LR at 60 epochs
36fc25d	2.012200	discard	Adam with cosine LR 0.0005 and no weight decay at 60 epochs
a0e28e2	2.534700	discard	RMSprop with cosine LR 0.0003 and no weight decay at 60 epochs
